rom,game,year,company,genre,platform
amico2k,Amico 2000,1978,A.S.E.L.,Keyboard/Typing,Arcade Hardware (Unknown)
apfm1000,APF M-1000,1978,APF Electronics Inc.,Action (Multiplayer),Arcade Hardware (Unknown)
apollo80,Apollo 80 (Germany),1978,Academy,Keyboard/Typing,Arcade Hardware (Unknown)
borisa,Boris (rev. 00),1978,Applied Concepts,Keyboard/Typing,Arcade Hardware (Unknown)
boris,Boris (rev. 01),1978,Applied Concepts,Keyboard/Typing,Arcade Hardware (Unknown)
a2600p,Atari 2600 (PAL),1978,Atari,Action (Multiplayer),Atari Arcade
atarifb1,Atari Football (revision 1),1978,Atari,Sports,Atari Arcade
atarifb,Atari Football (revision 2),1978,Atari,Sports,Atari Arcade
atarifb2,Atari Football II,1978,Atari,Sports,Atari Arcade
avalnche,Avalanche,1978,Atari,Dial/Paddle,Atari Arcade
boxer,Boxer (prototype),1978,Atari,Dial/Paddle,Atari Arcade
firetrk,Fire Truck / Smokey Joe (PROM version),1978,Atari,Dial/Paddle,Atari Arcade
firetrka,Fire Truck / Smokey Joe (ROM version),1978,Atari,Dial/Paddle,Atari Arcade
mgolf,"Mini Golf (Atari, prototype)",1978,Atari,Sports,Atari Arcade
orbit,Orbit,1978,Atari,Action (Multiplayer),Atari Arcade
skydiver,Sky Diver,1978,Atari,Action (Multiplayer),Atari Arcade
skyraid,Sky Raider,1978,Atari,Action,Atari Arcade
sbrkoutc,"Super Breakout (Canyon and Vertical Breakout, prototype)",1978,Atari,Dial/Paddle,Atari Arcade
sbrkoutct,"Super Breakout (Cocktail, prototype)",1978,Atari,Dial/Paddle,Atari Arcade
sbrkout3,Super Breakout (rev 03),1978,Atari,Dial/Paddle,Atari Arcade
sbrkout,Super Breakout (rev 04),1978,Atari,Dial/Paddle,Atari Arcade
tourtabl,Tournament Table (set 1),1978,Atari,Dial/Paddle,Atari Arcade
tourtab2,Tournament Table (set 2),1978,Atari,Dial/Paddle,Atari Arcade
wolfpack,Wolf Pack (prototype),1978,Atari,Dial/Paddle,Atari Arcade
sprint1,Sprint 1,1978,Atari (Kee Games),Dial/Paddle,Atari Arcade
ultratnk,Ultra Tank,1978,Atari (Kee Games),Arcade,Atari Arcade
pp1292,PP-1292 Advanced Programmable Video System,1978,Audio Sonic,Action (Multiplayer),Arcade Hardware (Unknown)
pp1392,PP-1392 Advanced Programmable Video System,1978,Audio Sonic,Action (Multiplayer),Arcade Hardware (Unknown)
astrocde,Bally Professional Arcade,1978,Bally Manufacturing,Dial/Paddle,Midway/Williams
spaceshp,Space Ship,1978,Cinematronics (Sega license),Action (Multiplayer),Arcade Hardware (Unknown)
amaztron,Amaze-A-Tron,1978,Coleco,Keyboard/Typing,Arcade Hardware (Unknown)
cqback,Electronic Quarterback,1978,Coleco,Action,Arcade Hardware (Unknown)
chmate,Chessmate,1978,Commodore,Keyboard/Typing,Arcade Hardware (Unknown)
litelrn,Lite 'n Learn: Electronic Organ,1978,Concept 2000,Keyboard/Typing,Arcade Hardware (Unknown)
mrmusical,Mr. Mus-I-Cal,1978,Concept 2000,Keyboard/Typing,Arcade Hardware (Unknown)
cm1200,M-1200 (?),1978,Conic,Keyboard/Typing,Arcade Hardware (Unknown)
dai,DAI Personal Computer,1978,Data Applications International,Keyboard/Typing,Arcade Hardware (Unknown)
cmpchess2,CompuChess: The Second Edition,1978,DataCash Systems / Staid,Keyboard/Typing,Arcade Hardware (Unknown)
seawolf2,Sea Wolf II,1978,Dave Nutting Associates / Midway,Arcade,Midway/Williams
la120,DECwriter III (LA120),1978,Digital Equipment Corporation,Keyboard/Typing,Arcade Hardware (Unknown)
vt100,VT100,1978,Digital Equipment Corporation,Keyboard/Typing,Arcade Hardware (Unknown)
vt105,VT105,1978,Digital Equipment Corporation,Keyboard/Typing,Arcade Hardware (Unknown)
vt62,VT62 DECscope,1978,Digital Equipment Corporation,Arcade,Arcade Hardware (Unknown)
crazybala,"Crazy Balls (Bontempi, set 1)",1978,Electronic Games Systems / Bontempi,Arcade,Arcade Hardware (Unknown)
crazybalb,"Crazy Balls (Bontempi, set 2)",1978,Electronic Games Systems / Bontempi,Arcade,Arcade Hardware (Unknown)
